"table_name","column_name","data_type"
"resale_category","category_id","integer"
"resale_category","category_name","text"
"resale_inventory","item_id","integer"
"resale_inventory","item","text"
"resale_inventory","pictures_taken","boolean"
"resale_inventory","pictures_taken_status","text"
"resale_inventory","source","text"
"resale_inventory","purchase_price","numeric"
"resale_inventory","pounds","numeric"
"resale_inventory","ounces","numeric"
"resale_inventory","platform_posted","text"
"resale_inventory","posted_price","numeric"
"resale_inventory","posting_date","date"
"resale_inventory","potential_earnings","numeric"
"resale_inventory","sales_date","date"
"resale_inventory","days_on_market","numeric"
"resale_inventory","net_from_platform","numeric"
"resale_inventory","total_net","numeric"
"resale_inventory","notes","text"
"resale_inventory","depop","boolean"
"resale_inventory","ebay","boolean"
"resale_inventory","etsy","boolean"
"resale_inventory","facebook","boolean"
"resale_inventory","kidizen","boolean"
"resale_inventory","mercari","boolean"
"resale_inventory","vestaire","boolean"
"resale_inventory","grailed","boolean"
"resale_inventory","poshmark","boolean"
"resale_inventory","curtsey","boolean"
"resale_inventory","profit_margin","numeric"
"resale_inventory","stale_after_30","date"
"resale_inventory","is_stale","boolean"
"resale_inventory","listing_url","text"
"resale_inventory","length","numeric"
"resale_inventory","width","numeric"
"resale_inventory","height","numeric"
"resale_inventory","stale_label","text"
"resale_inventory","description","text"
"resale_inventory","material","text"
"resale_inventory","style","text"
"resale_inventory","brand","text"
"resale_inventory","condition_description","text"
"resale_inventory","color","text"
"resale_inventory","size_adult","text"
"resale_inventory","size_kids","text"
"resale_inventory","size_plus","text"
"resale_inventory","shoulder_to_shoulder","numeric"
"resale_inventory","shoulder_to_hem","numeric"
"resale_inventory","waist","numeric"
"resale_inventory","waist_to_hem","numeric"
"resale_inventory","chest","numeric"
"resale_inventory","sleeve","numeric"
"resale_inventory","length_measurement","numeric"
"resale_inventory","inseam","numeric"
"resale_inventory","shoes_adult","text"
"resale_inventory","shoes_kids","text"
"resale_inventory","height_measure","numeric"
"resale_inventory","width_measure","numeric"
"resale_inventory","depth_measure","numeric"
"resale_inventory","condition","text"
"resale_inventory","quality_score","integer"
"resale_inventory","category_id","integer"
"resale_inventory","status_id","integer"
"resale_inventory","sale_platform_id","integer"
"resale_inventory","sale_platform","text"
"resale_inventory","status_label","text"
"resale_inventory","category_name","text"
"resale_inventory","sale_platform_name","text"
"resale_inventory_backup","item_id","integer"
"resale_inventory_backup","category","text"
"resale_inventory_backup","item","text"
"resale_inventory_backup","status","text"
"resale_inventory_backup","pictures_taken","boolean"
"resale_inventory_backup","pictures_taken_status","text"
"resale_inventory_backup","source","text"
"resale_inventory_backup","purchase_price","numeric"
"resale_inventory_backup","pounds","numeric"
"resale_inventory_backup","ounces","numeric"
"resale_inventory_backup","platform_posted","text"
"resale_inventory_backup","posted_price","numeric"
"resale_inventory_backup","posting_date","date"
"resale_inventory_backup","potential_earnings","numeric"
"resale_inventory_backup","sale_platform","text"
"resale_inventory_backup","sales_date","date"
"resale_inventory_backup","days_on_market","numeric"
"resale_inventory_backup","net_from_platform","numeric"
"resale_inventory_backup","total_net","numeric"
"resale_inventory_backup","notes","text"
"resale_inventory_backup","depop","text"
"resale_inventory_backup","ebay","text"
"resale_inventory_backup","etsy","text"
"resale_inventory_backup","facebook","text"
"resale_inventory_backup","kidizen","text"
"resale_inventory_backup","mercari","text"
"resale_inventory_backup","vestaire","text"
"resale_inventory_backup","grailed","text"
"resale_inventory_backup","poshmark","text"
"resale_inventory_backup","curtsey","text"
"resale_inventory_backup","profit_margin","numeric"
"resale_inventory_backup","stale_after_30","date"
"resale_inventory_backup","is_stale","boolean"
"resale_inventory_backup","listing_url","text"
"resale_inventory_backup","length","numeric"
"resale_inventory_backup","width","numeric"
"resale_inventory_backup","height","numeric"
"resale_inventory_backup","stale_label","text"
"resale_inventory_backup","description","text"
"resale_inventory_backup","material","text"
"resale_inventory_backup","style","text"
"resale_inventory_backup","brand","text"
"resale_inventory_backup","condition_description","text"
"resale_inventory_backup","color","text"
"resale_inventory_backup","size_adult","text"
"resale_inventory_backup","size_kids","text"
"resale_inventory_backup","size_plus","text"
"resale_inventory_backup","shoulder_to_shoulder","numeric"
"resale_inventory_backup","shoulder_to_hem","numeric"
"resale_inventory_backup","waist","numeric"
"resale_inventory_backup","waist_to_hem","numeric"
"resale_inventory_backup","chest","numeric"
"resale_inventory_backup","sleeve","numeric"
"resale_inventory_backup","length_measurement","numeric"
"resale_inventory_backup","inseam","numeric"
"resale_inventory_backup","shoes_adult","text"
"resale_inventory_backup","shoes_kids","text"
"resale_inventory_backup","height_measure","numeric"
"resale_inventory_backup","width_measure","numeric"
"resale_inventory_backup","depth_measure","numeric"
"resale_inventory_backup","condition","text"
"resale_inventory_backup","quality_score","integer"
"resale_inventory_backup","category_id","integer"
"resale_inventory_backup","status_id","integer"
"resale_inventory_backup","sale_platform_id","integer"
"resale_inventory_backup_05302025","item_id","integer"
"resale_inventory_backup_05302025","item","text"
"resale_inventory_backup_05302025","pictures_taken","boolean"
"resale_inventory_backup_05302025","pictures_taken_status","text"
"resale_inventory_backup_05302025","source","text"
"resale_inventory_backup_05302025","purchase_price","numeric"
"resale_inventory_backup_05302025","pounds","numeric"
"resale_inventory_backup_05302025","ounces","numeric"
"resale_inventory_backup_05302025","platform_posted","text"
"resale_inventory_backup_05302025","posted_price","numeric"
"resale_inventory_backup_05302025","posting_date","date"
"resale_inventory_backup_05302025","potential_earnings","numeric"
"resale_inventory_backup_05302025","sales_date","date"
"resale_inventory_backup_05302025","days_on_market","numeric"
"resale_inventory_backup_05302025","net_from_platform","numeric"
"resale_inventory_backup_05302025","total_net","numeric"
"resale_inventory_backup_05302025","notes","text"
"resale_inventory_backup_05302025","depop","boolean"
"resale_inventory_backup_05302025","ebay","boolean"
"resale_inventory_backup_05302025","etsy","boolean"
"resale_inventory_backup_05302025","facebook","boolean"
"resale_inventory_backup_05302025","kidizen","boolean"
"resale_inventory_backup_05302025","mercari","boolean"
"resale_inventory_backup_05302025","vestaire","boolean"
"resale_inventory_backup_05302025","grailed","boolean"
"resale_inventory_backup_05302025","poshmark","boolean"
"resale_inventory_backup_05302025","curtsey","boolean"
"resale_inventory_backup_05302025","profit_margin","numeric"
"resale_inventory_backup_05302025","stale_after_30","date"
"resale_inventory_backup_05302025","is_stale","boolean"
"resale_inventory_backup_05302025","listing_url","text"
"resale_inventory_backup_05302025","length","numeric"
"resale_inventory_backup_05302025","width","numeric"
"resale_inventory_backup_05302025","height","numeric"
"resale_inventory_backup_05302025","stale_label","text"
"resale_inventory_backup_05302025","description","text"
"resale_inventory_backup_05302025","material","text"
"resale_inventory_backup_05302025","style","text"
"resale_inventory_backup_05302025","brand","text"
"resale_inventory_backup_05302025","condition_description","text"
"resale_inventory_backup_05302025","color","text"
"resale_inventory_backup_05302025","size_adult","text"
"resale_inventory_backup_05302025","size_kids","text"
"resale_inventory_backup_05302025","size_plus","text"
"resale_inventory_backup_05302025","shoulder_to_shoulder","numeric"
"resale_inventory_backup_05302025","shoulder_to_hem","numeric"
"resale_inventory_backup_05302025","waist","numeric"
"resale_inventory_backup_05302025","waist_to_hem","numeric"
"resale_inventory_backup_05302025","chest","numeric"
"resale_inventory_backup_05302025","sleeve","numeric"
"resale_inventory_backup_05302025","length_measurement","numeric"
"resale_inventory_backup_05302025","inseam","numeric"
"resale_inventory_backup_05302025","shoes_adult","text"
"resale_inventory_backup_05302025","shoes_kids","text"
"resale_inventory_backup_05302025","height_measure","numeric"
"resale_inventory_backup_05302025","width_measure","numeric"
"resale_inventory_backup_05302025","depth_measure","numeric"
"resale_inventory_backup_05302025","condition","text"
"resale_inventory_backup_05302025","quality_score","integer"
"resale_inventory_backup_05302025","category_id","integer"
"resale_inventory_backup_05302025","status_id","integer"
"resale_inventory_backup_05302025","sale_platform_id","integer"
"resale_inventory_backup_05302025","sale_platform","text"
"resale_sale_platform","platform_name","text"
"resale_sale_platform","id","integer"
"resale_status","status_id","integer"
"resale_status","status_label","text"
